Time,BTC,ETH,BCH,XMR,DASH,BTC_volume,ETH_volume,BCH_volume,XMR_volume,DASH_volume
01/28/21 02:00 PM,31797.54,1343.36,396.84,137.96,103.22987732,24761428.307259,15891887.2768947,62034081.0430698,115108764.43631,486055.091186831
01/28/21 03:00 PM,31886.7,1348.7,393.92,137.2,102.87073114,32096123.546928,8321378.47959075,40980509.5006989,109901634.898609,7082996.63782653
01/28/21 04:00 PM,31972.51,1352.76,397.24,135.57,103.09516037,35778252.9679722,7074757.59512911,34188670.2447555,25268435.5221752,1545877.83824052
01/28/21 05:00 PM,32498.12,1355.17,396.64,136.13,102.50748977,36621267.1006624,10275044.3571677,33198332.2893562,78476079.896008,983150.094989644
01/28/21 06:00 PM,32359,1338.93,394.09,136.25,103.81421573,28260545.189149,7309900.46392211,12452241.512264,18968700.4221447,1445684.22457563
01/28/21 07:00 PM,32703.9,1341.73,395.77,135.15,104.3378569,35226341.3489931,5245602.66394496,6402881.600154,17366644.4097171,0
01/28/21 08:00 PM,32646.83,1336.41,395,135,105.11961677,46944018.332604,7547832.20676834,11489601.2693132,37497201.5073698,1389733.70008769
01/28/21 09:00 PM,32657.28,1334,395.52,133.45,104.23471437,31992453.5005355,7544260.04296074,25460848.9062846,17123716.73995,0
01/28/21 10:00 PM,33268.37,1350.96,402.51,134.82,105.36723783,18443938.4895892,5787618.96607012,60704927.8713362,27270036.7137528,107732.587966168
01/28/21 11:00 PM,33560.86,1351.8,411.68,136.01,105.8066278,37543993.4708502,8418329.09789034,24802069.6396438,25442005.535826,5407934.58706922
01/29/21 12:00 AM,33488.66,1332.47,406.09,135.49,105.28229447,45801499.5967741,4537955.68125022,76856758.8458045,3864808.5442582,74673767.090858
01/29/21 01:00 AM,34249.99,1371.05,416.2,138.16,103.36903602,27177229.9138313,2702895.79821092,66412714.0086102,69871717.106532,739462.233890004
01/29/21 02:00 AM,34041.53,1346.11,411.81,137.41,102.8540166,31797263.2960629,4275309.4204816,20836369.2554969,11143342.7455812,1154849.63686934
01/29/21 03:00 AM,34080,1344.98,410.27,136.81,104.77675884,30969381.6979607,3193871.62291687,29806295.47368,8483077.8886544,1746281.03478364
01/29/21 04:00 AM,33847.3,1323.87,404.14,135.48,103.69123635,34084378.8033107,3883515.54351122,63287752.6530401,21701366.800512,813664.983359982
01/29/21 05:00 AM,33105.3,1306.8,398.46,134.17,102.50471884,13698896.0101838,4874781.24978822,175239562.441991,3344209.2023952,446350.836514332
01/29/21 06:00 AM,33046.51,1303.99,411.43,134.56,104.69056582,24728840.2928659,4276468.47597995,121798687.182076,34365697.4623772,10032487.8866879
01/29/21 07:00 AM,32510.92,1303.91,402.74,134.26,106.75042129,18863792.1181296,5574472.74395245,58000023.5521225,9891706.927125,2643238.8464888
01/29/21 08:00 AM,32330.17,1317.32,403.13,134.37,105.7607371,84564484.0712878,17091987.7661602,173832951.713634,100999987.461139,3481647.36684559
01/29/21 09:00 AM,36314.6,1380.15,416.96,140.14,106.57198695,227616557.658242,27198066.6762321,359547724.82249,58332188.9536911,4041508.95985172
01/29/21 10:00 AM,37010.8,1377.34,426.38,140.71,107.2893994,64899058.8050435,6785394.17922456,176821780.632027,49854071.262835,4336652.58717968
01/29/21 11:00 AM,36700,1382.76,423.2,140.64,107.78737259,32011468.6333113,16226296.7405956,78860637.2067147,42702038.6257752,15235434.2266335
01/29/21 12:00 PM,37101.73,1420.58,425.59,141.22,106.89063038,54514046.3924193,8135991.48632913,196063072.300319,16656001.583035,574631.658470226
01/29/21 01:00 PM,37946.69,1424.73,429.03,142.61,106.90040585,46204849.5892516,11197954.3972735,74005860.749429,844190822.654464,5856186.62059044
01/29/21 02:00 PM,38370.46,1428.23,433.03,147.39,105.34362773,74937818.2884881,17201227.8408553,119455184.585461,358332022.144512,1800582.31103207
01/29/21 03:00 PM,37177.93,1398.85,425.59,146.48,104.24972183,44287795.5557084,7727929.74100318,27660449.7354305,349445257.935666,956437.585285804
01/29/21 04:00 PM,37164.97,1400,425.83,144.56,104.01135441,34963278.9970353,6560628.73058397,47173324.0885314,44986545.480254,4653943.10352853
01/29/21 05:00 PM,36051.88,1377,418.1,143.12,103.42309571,33867078.5375139,6574932.66097547,72801206.3836293,28839385.4389935,4643278.32931103
01/29/21 06:00 PM,35761.97,1374.11,411.67,142.13,104.2559127,48840887.2460789,14330155.6823439,80835943.9115904,9120022.0661922,666083.80130555
01/29/21 07:00 PM,35230.39,1353.08,407.5,140.26,104.29719572,63858849.6139165,5192215.92277324,73287755.3202717,32848185.275306,123881.579743912
01/29/21 08:00 PM,34273.25,1348.79,405.88,139.24,104.04039035,27575382.9639052,9975685.78404245,28531018.8259005,20903041.9104537,617371.087115282
01/29/21 09:00 PM,34570.43,1348.99,404.47,139.61,104.898,21685031.2135214,3774638.31479416,19783776.5503488,3942716.1769394,647006.57681874
01/29/21 10:00 PM,34636.81,1373.03,407.02,139.93,104.53495066,15310290.0276363,4958727.79953593,14341103.0565233,15955178.5543488,1392387.73108096
01/29/21 11:00 PM,34509.3,1396.36,408.56,140.01,104.01403856,23109955.241638,12569152.6356735,20442255.7995927,7865246.5248983,1288061.91761723
01/30/21 12:00 AM,34265.71,1380.94,409.58,140.49,104.13018873,19354945.8975167,7050727.05880261,20543098.2644432,2234809.3882743,1287578.34523057
01/30/21 01:00 AM,34268.73,1366.45,404.17,139.45,102.21244878,13561558.7481359,3519060.63744803,29228311.2147708,9801671.1928082,1875003.64451956
01/30/21 02:00 AM,34087.97,1369.82,406.12,139.57,101.67947948,9799744.54553625,5446682.7912481,18721757.6163033,4734404.093276,328165.678044887
01/30/21 03:00 AM,33880.89,1344.09,400.73,140.39,102.01,23404825.0434205,5926887.0883564,106170949.43761,16325610.3535473,775026.6824595
01/30/21 04:00 AM,33271.18,1342.35,395.18,139.34,102.72933875,8669076.94530804,2259738.81795351,14062415.9315593,2567888.4043688,14507.9827110638
01/30/21 05:00 AM,33507.91,1343.4,394.66,138.91,102.64455794,9265558.02240471,4140348.86678031,13416614.4325465,4112532.652228,0
01/30/21 06:00 AM,33505.47,1337.3,395.84,137.4,102.32122111,16062787.4834383,1982202.18968329,14691606.8797459,4906103.2097518,391394.461979804
01/30/21 07:00 AM,33821.93,1345,398.16,138.29,102.47772943,8560302.8051422,1238963.57032502,13531548.4500285,3382497.487259,21118830.4104391
01/30/21 08:00 AM,34021.32,1347.32,400.22,138.66,102.71037553,26101392.6626025,2642921.18107372,39949161.1317625,12046953.699885,1146029.94528961
01/30/21 09:00 AM,33917.03,1342.97,398.22,138.84,103.13993534,6448856.525634,1202106.22681902,5612612.65475609,13237971.8377966,2064349.8004398
01/30/21 10:00 AM,34284.41,1344.91,399,139.6,102.47604047,6105257.16643507,1502094.72437132,55203458.9609805,76067697.47034,1057.55478717121
01/30/21 11:00 AM,34345.93,1354.78,416,139.43,103.40147532,9787730.90620061,7393210.83900451,41520133.069905,12285674.1189245,114179.955148073
01/30/21 12:00 PM,33633.9,1339.02,402.76,137.3,104,16799040.6784961,2269967.55542775,17553672.9605952,9955679.075588,525480.00648
01/30/21 01:00 PM,33771.77,1339.8,400.72,137.36,104.58597984,7534102.97912085,1738623.18427465,27854738.5988163,7071693.6870487,856583.104161787
01/30/21 02:00 PM,34271.8,1369.3,411.26,137.59,103.29762711,9240678.70534802,3307934.66934726,109003668.442592,4061963.8342325,1967262.28055841
01/30/21 03:00 PM,34262.18,1370.43,411.77,137.13,105.87831795,4010313.7885946,6403568.10641868,19996553.6049342,20191397.2695916,150778.263297038
01/30/21 04:00 PM,34258.28,1374.09,412.89,138.01,104.81008009,11353894.1367079,16534108.7042407,143137947.60837,8922282.5723724,2933849.98445373
01/30/21 05:00 PM,33988.9,1358.96,415.56,137.91,105.03782485,6153773.70722517,4342653.86206546,91852869.2914353,4327358.1742146,443996.884510757
01/30/21 06:00 PM,34258.75,1370.98,413.41,139.69,104.90762205,3888190.95164772,3497718.48126203,40345635.9672267,12143034.2898687,263148.252334962
01/30/21 07:00 PM,34363.25,1377.72,415.78,138.92,104.43316673,4947596.01102846,2394670.80359021,10453846.5571942,14251475.5636179,1177047.76887327
01/30/21 08:00 PM,34309.97,1372.79,416,139.61,104.61346903,4323458.68783814,2068896.20216142,18045784.2636713,17533171.409292,1610632.33146277
01/30/21 09:00 PM,34164.09,1379.77,412.47,139.71,104.36153666,7754422.33543453,1495160.58864017,8241349.0296075,27806293.683522,63777.0392768197
01/30/21 10:00 PM,34694.16,1385.95,415.52,140.42,105.1,7057248.34032716,4398434.76491186,6645626.02985865,2623965.4725291,0
01/30/21 11:00 PM,34566.32,1386.84,413.33,140.82,105,7129308.19927656,2485662.82696515,23912144.428848,2402855.0854968,484845.186
01/31/21 12:00 AM,34300.19,1374.46,416.96,139.34,104.95770913,8330844.40403246,1326733.94007936,5500156.68850824,5995262.2991294,121708.911226602
01/31/21 01:00 AM,34113.61,1368.49,411.51,138.82,103.7866624,3800880.83866485,4783140.52698364,9814004.24525204,1596975.3236772,250091.693966204
01/31/21 02:00 AM,34234.95,1375.82,414.98,140.45,104.07138566,5124475.88275136,1006885.73351029,10009760.7768057,9198428.617466,24337.2621322358
01/31/21 03:00 AM,33762.42,1359.42,409.04,137.93,103.96923426,4431952.40239557,1001505.50884932,8369129.40015375,1309552.3421719,13268455.9410222
01/31/21 04:00 AM,33959.55,1355.89,406.85,137.84,104.6016082,3813514.93791033,520674.507784111,13607628.8427973,1384996.6762685,693814.10010796
01/31/21 05:00 AM,34054.58,1362.39,405.1,137.71,103.49363989,3817766.5567143,1149227.19469986,15206983.0398272,8014965.2914474,1769839.79807733
01/31/21 06:00 AM,33753.08,1350.79,401.61,137.97,103.18797902,4611949.33690641,669156.913206231,38123538.2326357,5067515.3837112,993730.87860109
01/31/21 07:00 AM,33672.34,1347.36,400.58,137.08,103.42817347,5827680.74927069,2200178.11032228,8875411.79166509,8008727.1263883,1959411.14848041
01/31/21 08:00 AM,33612.51,1345.79,401.7,136.56,103.20333064,5903051.8673165,1095401.07227637,21786620.7273336,20957282.4624085,1730753.86755448
01/31/21 09:00 AM,33562.82,1348.71,402.42,136.71,103.85,8302944.86613276,1278910.65415347,12933977.2520119,4163605.3612274,2721068.8197865
01/31/21 10:00 AM,33308.3,1340.02,402.44,135.97,104.2559127,5961919.4377895,5333512.25873015,46278467.8664079,2722876.00147,1770334.25554866
01/31/21 11:00 AM,33691.36,1353.21,407.88,137.02,104.63731699,4071820.8448695,5933985.75288571,9152906.30309997,14237594.9143317,228837.267858453
01/31/21 12:00 PM,33572.81,1354.34,408.44,137.58,103.93487366,7193618.848661,3477399.09455346,13361938.0999867,27242398.864467,13607442.8812188
01/31/21 01:00 PM,34032.17,1360.79,410.91,137.82,103.223527,4086079.71020845,2574185.93848069,10134559.029534,6184498.07142,1024975.56347503
01/31/21 02:00 PM,33704.03,1348.8,408.37,137.23,100.72164336,5606574.59451794,3224268.44995209,8409582.94299107,5894494.546879,1371021.26290302
01/31/21 03:00 PM,33359.61,1331.18,401.94,135.98,102.37116827,19868878.5434157,7625410.17744841,67089605.1443784,32759043.3133509,753604.286464608
01/31/21 04:00 PM,32914.89,1312.77,396.62,134.7,101.18828888,4832287.78481823,2638268.65214913,30768011.5652542,3489441.0401214,419161.330676551
01/31/21 05:00 PM,32951.95,1314.23,399.02,134.6,100.4,13745451.6818815,2346069.44269274,17316217.3400865,6751386.5020727,91987.939816
01/31/21 06:00 PM,32304.42,1289.89,392.64,133.6,101.04049046,10079903.7490493,2212496.9893659,16512448.6897026,15349699.627928,3156449.83570541
01/31/21 07:00 PM,32489.13,1288.1,391.76,132.37,101.71004988,6204135.8847776,1735268.8824664,11526540.185011,6122236.4552988,600303.046098627
01/31/21 08:00 PM,32835,1306.2,395.91,134.41,101.89315482,3742703.05648334,2489154.8944435,13281098.068974,5427355.0248636,812186.098314979
01/31/21 09:00 PM,32897.71,1311.95,397.13,135.63,102.40241268,2254298.30033311,2519355.94446015,12449178.1259698,9739244.971075,11264.2653948
01/31/21 10:00 PM,32613.44,1296.84,398.92,135.6,101.66,5931702.41152427,2257628.54005632,12002584.863848,7092305.4927495,738074.6483552
01/31/21 11:00 PM,32995.48,1311.84,399.99,136.78,100.24647951,10460473.7828051,2910343.58945463,13493566.7829589,21198509.1681258,0
02/01/21 12:00 AM,33110.32,1313.19,399.81,137.76,100.6935122,11489325.3784355,6845638.29379991,29100567.7802317,12846412.6181244,289593.723455881
02/01/21 01:00 AM,32589.7,1281.45,392.14,137.27,102.41635437,13375590.5533925,2224728.01380631,12731558.5363069,22388056.87668,2658793.30706443
02/01/21 02:00 AM,33451,1314.79,398.44,140.34,102.14233931,10226133.1954296,2867830.14708914,21676912.3334457,5127995.3102608,778736.862830845
02/01/21 03:00 AM,33710.16,1320.05,400.52,140.77,102.566,6691453.52523568,4108238.60401183,13183927.7338175,12220952.6692997,2460160.49058864
02/01/21 04:00 AM,33585,1318.58,401.81,140.94,103.3364153,7202513.04535636,1105997.04169471,23913564.9226236,17879393.121465,12755796.4191537
02/01/21 05:00 AM,33594.25,1317.17,405.45,141,104.69943052,10013146.0476717,920052.265989571,22803999.887493,9233172.356226,2189404.01365958
02/01/21 06:00 AM,33794.27,1321.44,411.5,141.68,103.67499417,31039110.4030054,10971118.3587207,68886054.9298209,13481733.5651205,3122790.4581433
02/01/21 07:00 AM,33568.74,1311.1,408.8,141.98,104.18136691,9963234.612323,2354604.49028678,13751831.865721,11661193.2136714,827926.638079945
02/01/21 08:00 AM,33813.67,1317.57,411.22,143.14,104.98879604,14263884.1209892,3164639.4842895,39588048.7614342,46768093.0802432,12799860.9607074
02/01/21 09:00 AM,34477.93,1334.11,417,145.16,104.86047563,22002258.5776305,3155252.25010973,39842102.7271875,47312627.191788,43462.3423918903
02/01/21 10:00 AM,34367.02,1330.17,414.88,142.53,105.13694006,15386660.3089826,3640140.8157313,23829870.7662355,14391870.5424429,2726194.11858068
02/01/21 11:00 AM,34174.76,1324.95,413.69,142.68,104.79426593,12511659.3946016,4047641.19592292,184712605.694057,8349670.0229649,7774994.07772973
02/01/21 12:00 PM,34191.24,1336.68,432.17,141.92,103.51936527,21646507.8087873,4010054.30819043,170534788.754272,6779193.5177538,893592.33074429
02/01/21 01:00 PM,33784.12,1330.74,420.22,141,103.25625895,19129101.3503133,3846551.64483486,63031106.9140358,31701871.5758738,3933676.81570542
02/01/21 02:00 PM,33692.55,1327,412.15,140.26,101.8934514,16771488.0357923,3735686.27085498,95703153.6560963,16053171.7203648,8183.37283802626
02/01/21 03:00 PM,33500,1313.13,409.59,141.12,102.24614292,8839671.63452877,3176661.44715602,79914082.2187983,3955069.0754875,1329441.93286059
02/01/21 04:00 PM,33148.89,1301.23,407.78,141.32,101.7125758,7340224.34088463,1311179.34302239,33600778.4164534,34611406.453662,59016.4773114021
02/01/21 05:00 PM,33422.11,1308.54,406.72,139.93,103.343,9741659.57559964,2315257.54491141,30819708.7148352,25709780.1835085,1430062.75095006
02/01/21 06:00 PM,34008.1,1320.72,409.53,141.58,103.30767783,6775076.19659061,1733550.56944291,18262340.9787426,13746848.0164785,2117253.89673795
02/01/21 07:00 PM,33731.47,1325.98,406.11,141.39,103.33923502,6995205.73346947,1552359.70074708,6254142.5177772,11190502.3078555,50310.9235818805
02/01/21 08:00 PM,33855.3,1334.56,407.5,143.29,103.73540501,6293195.12007033,1850898.71868628,12625181.4799421,16682501.4719067,16593.0433893068
02/01/21 09:00 PM,33816.02,1336,408.46,143.62,103.0555061,6527284.383897,2782352.2605284,9885449.3565282,39358913.026034,1667111.34606313
02/01/21 10:00 PM,33666.48,1349.88,411.53,145.32,102.90993839,4468417.56344605,2866593.54042039,19154422.1605003,25867186.243758,195595.487282225
02/01/21 11:00 PM,33542.06,1361.66,412.51,145.78,103.98663089,3854948.93894902,5934126.70784175,23741588.2259418,27413529.1979235,3127269.707461
